# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
12.249584 3.460859e-07   7.784295e-14 9.710632e-37   9.306393e-12 -3.680628e-22   -9.264461e-12 -5.159747e-25
12.372696 1.038684e-07   2.016120e-15 1.215233e-36   2.300438e-12 -8.713544e-22   -2.291665e-12 -7.358686e-25
12.495807 8.317800e-08   5.478326e-15 9.286461e-37   4.306450e-13 -2.697379e-22   -4.292047e-13 -3.968216e-25
12.618919 4.173117e-08   1.398281e-15 4.392316e-37   5.272522e-14 -3.204055e-23   -5.238201e-14 -6.471597e-25
12.742030 1.347882e-08   1.186462e-16 4.332445e-37   4.715001e-15 -7.602269e-22   -4.651968e-15 8.411302e-26
12.865141 3.109967e-09   5.435906e-18 1.271227e-37   7.478719e-16 2.637377e-21   -7.436359e-16 -1.289739e-24
12.988253 -nan   6.315750e-19 8.125821e-37   2.345078e-16 2.075140e-21   -2.360241e-16 -4.956749e-25
13.111364 -nan   1.035583e-18 2.391677e-37   1.389475e-16 6.863083e-22   -1.403619e-16 -3.844563e-25
13.234476 -nan   3.010348e-18 9.441039e-38   3.349339e-16 1.147646e-21   -3.418007e-16 1.971255e-25
13.357587 -nan   5.038142e-18 5.850762e-38   8.483389e-16 6.569040e-22   -8.704017e-16 -4.677608e-26
13.480698 -nan   3.988569e-18 2.478468e-37   1.287921e-15 -5.386290e-22   -1.318870e-15 -4.335659e-25
13.603810 -nan   1.694517e-18 6.168092e-37   1.202666e-15 -1.070096e-22   -1.224386e-15 -2.657919e-25
13.726921 -nan   1.187630e-18 4.240220e-37   8.215299e-16 -1.245441e-21   -8.289055e-16 -2.123331e-25
13.850033 3.894253e-10   9.419089e-19 1.185537e-37   6.527589e-16 -5.050232e-22   -6.535492e-16 -2.172651e-26
13.973144 8.779991e-10   1.309839e-18 7.269992e-37   6.310397e-16 2.918649e-22   -6.315787e-16 -4.250849e-25
14.096255 -nan   1.570178e-18 6.401645e-37   4.769786e-16 1.603166e-22   -4.789133e-16 -1.281674e-25
14.219367 -nan   6.606282e-19 1.151789e-37   2.761107e-16 1.888064e-21   -2.777736e-16 -7.736717e-25
14.342478 -nan   2.175713e-19 5.711595e-37   2.264224e-16 1.713941e-21   -2.272947e-16 -4.586897e-25
14.465590 -nan   5.773348e-19 2.541518e-38   3.130266e-16 3.731272e-22   -3.141153e-16 -2.829489e-25
14.588701 -nan   8.916357e-19 1.913047e-37   4.721162e-16 8.811209e-22   -4.739113e-16 -2.817769e-26
14.711813 -nan   1.626030e-18 2.042256e-37   1.350458e-15 3.252279e-22   -1.354820e-15 1.852689e-25
14.834924 -nan   5.959255e-18 4.000531e-37   5.011929e-15 3.676190e-22   -5.021279e-15 -3.476604e-25
