# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
10.279802 6.102623e-05   2.062949e-11 1.065439e-36   1.812920e-08 1.139396e-21   -1.442563e-08 -2.876727e-25
10.402913 6.145037e-05   8.541016e-11 3.217251e-37   1.807384e-08 4.234667e-22   -1.438310e-08 -3.825901e-25
10.526025 6.129442e-05   5.476648e-11 6.587606e-37   1.819554e-08 2.622332e-21   -1.449330e-08 -5.608630e-25
10.649136 6.022122e-05   2.392772e-11 1.557493e-36   1.767384e-08 7.660175e-22   -1.407117e-08 7.393628e-25
10.772248 5.929119e-05   7.315227e-11 1.316560e-36   1.681602e-08 1.891628e-21   -1.337373e-08 8.907207e-25
10.895359 5.723436e-05   2.508424e-11 2.668123e-36   1.590392e-08 1.059027e-21   -1.265324e-08 2.451976e-25
11.018470 5.345908e-05   2.865853e-11 1.140118e-36   1.377553e-08 1.954489e-21   -1.094631e-08 8.595999e-25
11.141582 4.908647e-05   4.511106e-11 2.218318e-36   1.154347e-08 1.100362e-21   -9.179102e-09 1.071843e-24
11.264693 4.240712e-05   4.181226e-12 1.803209e-36   8.801551e-09 2.380695e-21   -7.007368e-09 -6.868814e-25
11.387805 3.509224e-05   7.342093e-12 1.216148e-36   5.949238e-09 1.112246e-21   -4.725115e-09 -2.440556e-25
11.510916 2.747888e-05   6.203574e-12 1.007635e-36   3.645091e-09 3.178883e-22   -2.896206e-09 -1.278373e-25
11.634027 2.026389e-05   2.403494e-13 3.891614e-37   1.993831e-09 1.326015e-21   -1.583446e-09 1.186524e-25
11.757139 1.389259e-05   4.233736e-13 5.444247e-37   9.339473e-10 3.798655e-23   -7.413667e-10 8.142639e-25
11.880250 8.927359e-06   7.501437e-14 3.961172e-37   3.956431e-10 2.637732e-21   -3.160204e-10 -3.332298e-25
12.003362 5.578211e-06   3.121349e-13 8.684641e-37   1.678195e-10 1.694899e-21   -1.370152e-10 3.764676e-25
12.126473 2.986455e-06   6.774119e-14 6.477037e-37   5.510471e-11 2.460749e-21   -4.625354e-11 6.821589e-25
12.249584 1.554959e-06   1.265793e-14 3.254885e-37   1.602690e-11 1.814521e-21   -1.362166e-11 5.187862e-25
12.372696 8.296613e-07   6.765246e-15 4.292269e-37   5.021935e-12 2.095333e-21   -4.340362e-12 1.203056e-24
12.495807 4.419464e-07   3.862212e-15 3.999648e-37   1.307599e-12 3.963547e-22   -1.116145e-12 1.701398e-24
12.618919 2.905184e-07   6.161370e-16 4.931414e-37   3.933324e-13 1.043880e-21   -3.095476e-13 -5.370133e-25
12.742030 1.934293e-07   5.864561e-17 1.486429e-38   1.637212e-13 1.025822e-21   -1.263649e-13 -9.391463e-25
12.865141 1.152359e-07   4.867980e-17 1.673663e-37   4.847403e-14 3.900732e-22   -3.524340e-14 -2.629395e-25
12.988253 7.194913e-08   1.491035e-17 2.396373e-37   1.244294e-14 -6.706529e-23   -7.281172e-15 5.585590e-25
13.111364 4.565960e-08   1.662961e-18 1.028814e-37   4.854171e-15 -6.634825e-23   -2.771035e-15 9.348345e-25
13.234476 2.743923e-08   1.011791e-18 3.095700e-37   2.710595e-15 3.629431e-24   -1.958695e-15 -6.289870e-26
13.357587 1.588049e-08   3.190932e-18 5.955625e-37   1.444302e-15 3.883533e-22   -1.195303e-15 1.658018e-25
13.480698 1.211275e-08   2.973998e-18 2.034836e-37   9.294852e-16 4.841498e-22   -7.857405e-16 -1.144516e-25
13.603810 1.317902e-08   1.424206e-18 2.127055e-37   1.137435e-15 1.033683e-21   -9.651725e-16 8.279530e-26
13.726921 1.523099e-08   8.414193e-19 1.073419e-37   1.581042e-15 -2.105992e-22   -1.349901e-15 7.697322e-25
13.850033 1.643312e-08   1.360589e-18 2.136203e-37   1.781581e-15 -8.906164e-23   -1.512894e-15 1.592309e-24
13.973144 1.609788e-08   1.702451e-18 1.448143e-36   1.535074e-15 6.029710e-22   -1.277634e-15 -4.812454e-25
14.096255 1.597841e-08   1.527601e-18 5.952985e-37   1.252110e-15 2.288779e-22   -9.983280e-16 -4.215614e-25
14.219367 1.952897e-08   1.075239e-18 1.555144e-36   1.516794e-15 7.323135e-22   -1.136488e-15 -3.506093e-25
14.342478 2.779436e-08   6.384666e-19 8.223921e-37   3.288659e-15 5.439242e-22   -2.516771e-15 2.846324e-25
14.465590 3.987326e-08   2.817470e-19 3.524508e-36   1.046885e-14 6.300078e-22   -8.879250e-15 4.093644e-25
14.588701 5.369319e-08   9.766008e-19 1.918369e-36   2.739658e-14 1.654138e-23   -2.451460e-14 5.154455e-26
14.711813 6.811082e-08   4.438788e-18 2.824747e-36   4.960396e-14 -5.984037e-22   -4.496931e-14 3.722866e-25
14.834924 8.323816e-08   1.090600e-17 1.607161e-36   6.292847e-14 7.708810e-22   -5.601079e-14 -2.615615e-26
