# 1      2         3-4       5-6     7-8
# x  RMS-E  E_inhomo^2  E_homo^2  E_corr
11.018470 2.981976e-05   5.546544e-11 6.926957e-37   1.056610e-08 -5.868687e-22   -9.732346e-09 1.273676e-24
11.141582 2.718344e-05   1.033355e-11 5.233902e-37   9.010516e-09 1.351563e-21   -8.281910e-09 6.146964e-25
11.264693 2.370828e-05   1.898347e-11 4.419433e-37   6.817511e-09 1.387733e-21   -6.274412e-09 7.842047e-26
11.387805 1.958338e-05   2.273305e-11 9.774747e-38   4.618894e-09 -2.876857e-22   -4.258119e-09 1.493927e-26
11.510916 1.396519e-05   2.284065e-12 1.968275e-37   2.658749e-09 3.236033e-21   -2.466006e-09 5.534176e-25
11.634027 9.527995e-06   2.980403e-12 3.705875e-37   1.287636e-09 3.211695e-21   -1.199833e-09 -4.146971e-26
11.757139 6.512685e-06   3.803783e-12 1.715960e-37   5.976569e-10 3.565603e-22   -5.590457e-10 1.338445e-24
11.880250 3.678337e-06   1.402596e-13 1.883320e-37   2.513260e-10 1.382611e-21   -2.379361e-10 7.708749e-25
12.003362 2.177638e-06   6.131455e-13 9.359518e-37   9.233384e-11 6.888166e-22   -8.820488e-11 -5.107192e-25
12.126473 1.253014e-06   5.746352e-13 3.842627e-37   3.125098e-11 -1.006186e-21   -3.025557e-11 7.553201e-25
12.249584 5.346987e-07   7.784295e-14 9.710632e-37   9.306393e-12 -3.680628e-22   -9.098334e-12 5.574193e-25
12.372696 1.228991e-07   2.016120e-15 1.215233e-36   2.300438e-12 -8.713544e-22   -2.287350e-12 1.163334e-24
12.495807 -nan   5.478326e-15 9.286461e-37   4.306450e-13 -2.697379e-22   -4.407032e-13 1.209812e-24
12.618919 -nan   1.398281e-15 4.392316e-37   5.272522e-14 -3.204055e-23   -5.455764e-14 7.052911e-25
12.742030 9.395447e-09   1.186462e-16 4.332445e-37   4.715001e-15 -7.602269e-22   -4.745372e-15 -4.995168e-26
12.865141 4.666406e-09   5.435906e-18 1.271227e-37   7.478719e-16 2.637377e-21   -7.315325e-16 6.866253e-25
12.988253 2.599375e-09   6.315750e-19 8.125821e-37   2.345078e-16 2.075140e-21   -2.283826e-16 1.311275e-25
13.111364 1.960321e-09   1.035583e-18 2.391677e-37   1.389475e-16 6.863083e-22   -1.361402e-16 8.347346e-25
13.234476 -nan   3.010348e-18 9.441039e-38   3.349339e-16 1.147646e-21   -3.461352e-16 6.424457e-26
13.357587 -nan   5.038142e-18 5.850762e-38   8.483389e-16 6.569040e-22   -9.012753e-16 -5.200919e-25
13.480698 -nan   3.988569e-18 2.478468e-37   1.287921e-15 -5.386290e-22   -1.380272e-15 2.000853e-25
13.603810 -nan   1.694517e-18 6.168092e-37   1.202666e-15 -1.070096e-22   -1.290143e-15 2.887235e-25
13.726921 -nan   1.187630e-18 4.240220e-37   8.215299e-16 -1.245441e-21   -8.734575e-16 9.001170e-25
13.850033 -nan   9.419089e-19 1.185537e-37   6.527589e-16 -5.050232e-22   -6.721586e-16 8.256223e-25
13.973144 -nan   1.309839e-18 7.269992e-37   6.310397e-16 2.918649e-22   -6.334196e-16 -4.055219e-26
14.096255 1.180359e-09   1.570178e-18 6.401645e-37   4.769786e-16 1.603166e-22   -4.771555e-16 -1.130713e-25
14.219367 -nan   6.606282e-19 1.151789e-37   2.761107e-16 1.888064e-21   -2.780621e-16 -4.340277e-26
14.342478 -nan   2.175713e-19 5.711595e-37   2.264224e-16 1.713941e-21   -2.279308e-16 2.352723e-26
14.465590 -nan   5.773348e-19 2.541518e-38   3.130266e-16 3.731272e-22   -3.145961e-16 4.630874e-25
14.588701 -nan   8.916357e-19 1.913047e-37   4.721162e-16 8.811209e-22   -4.862895e-16 -1.133365e-25
14.711813 -nan   1.626030e-18 2.042256e-37   1.350458e-15 3.252279e-22   -1.426364e-15 -3.294071e-25
14.834924 -nan   5.959255e-18 4.000531e-37   5.011929e-15 3.676190e-22   -5.185799e-15 -1.969339e-25
